Hash-Mode ,Hash-Name ,Example
6600,1Password; Agile Keychain ,http://hashcat.net/misc/example_hashes/hashcat.agilekeychain
6700,AIX {ssha1} ,{ssha1}06$bJbkFGJAB30L2e23$dCESGOsP7jaIIAJ1QAcmaGeG.kr
6800,Lastpass 4 ,a2d1f7b7a1862d0d4a52644e72d59df5:500:lp@trash-mail.com
6900,GOST R 34.11-94 ,df226c2c6dcb1d995c0299a33a084b201544293c31fc3d279530121d36bbcea9
7000,Fortigate (FortiOS) ,AK1AAECAwQFBgcICRARNGqgeC3is8gv2xWWRony9NJnDgEA
7100,OS X v10.8 / v10.9 ,$ml$35460$93a94bd24b5de64d79a5e49fa372827e739f4d7b6975c752c9a0ff1e5cf72e05$752351df64dd2ce9dc9c64a72ad91de6581a15c19176266b44d98919dfa81f0f96cbcb20a1ffb400718c20382030f637892f776627d34e021bad4f81b7de8222
7200,GRUB 2 ,grub.pbkdf2.sha512.10000.7d391ef48645f626b427b1fae06a7219b5b54f4f02b2621f86b5e36e83ae492bd1db60871e45bc07925cecb46ff8ba3db31c723c0c6acbd4f06f60c5b246ecbf.26d59c52b50df90d043f070bd9cbcd92a74424da42b3666fdeb08f1a54b8f1d2f4f56cf436f9382419c26798dc2c209a86003982b1e5a9fcef905f4dfaa4c524
7300,IPMI2 RAKP HMAC-SHA1 ,b7c2d6f13a43dce2e44ad120a9cd8a13d0ca23f0414275c0bbe1070d2d1299b1c04da0f1a0f1e4e2537300263a2200000000000000000000140768617368636174:472bdabe2d5d4bffd6add7b3ba79a291d104a9ef
7400,sha256crypt; SHA256(Unix) 2 ,$5$rounds=5000$GX7BopJZJxPc/KEK$le16UF8I2Anb.rOrn22AUPWvzUETDGefUmAV8AZkGcD
7500,Kerberos 5 AS-REQ Pre-Auth ,$krb5pa$23$user$realm$salt$4e751db65422b2117f7eac7b721932dc8aa0d9966785ecd958f971f622bf5c42dc0c70b532363138363631363132333238383835
7700,SAP CODVN B (BCODE) ,user$c8b48f26b87b7ea7
7800,SAP CODVN F/G (PASSCODE) ,user$abcad719b17e7f794df7e686e563e9e2d24de1d0
7900,Drupal7 ,$S$C33783772bRXEx1aCsvY.dqgaaSu76XmVlKrW9Qu8IQlvxHlmzLf
8000,Sybase ASE ,0xc00778168388631428230545ed2c976790af96768afa0806fe6c0da3b28f3e132137eac56f9bad027ea2
8100,Citrix Netscaler ,1765058016a22f1b4e076dccd1c3df4e8e5c0839ccded98ea
8200,1Password; Cloud Keychain ,http://hashcat.net/misc/example_hashes/hashcat.cloudkeychain
8300,DNSSEC (NSEC3) ,7b5n74kq8r441blc2c5qbbat19baj79r:.lvdsiqfj.net:33164473:1
8400,WBB3; Woltlab Burning Board 3 ,8084df19a6dc81e2597d051c3d8b400787e2d5a9:6755045315424852185115352765375338838643
8500,RACF ,$racf$*USER*FC2577C6EBE6265B
8600,Lotus Notes/Domino 5 ,3dd2e1e5ac03e230243d58b8c5ada076
8700,Lotus Notes/Domino 6 ,(GDpOtD35gGlyDksQRxEU)
8800,Android FDE <= 4.3 ,http://hashcat.net/misc/example_hashes/hashcat.android43fde
8900,scrypt ,SCRYPT:1024:1:1:MDIwMzMwNTQwNDQyNQ==:5FW+zWivLxgCWj7qLiQbeC8zaNQ+qdO0NUinvqyFcfo=
9000,Password Safe v2 ,http://hashcat.net/misc/example_hashes/hashcat.psafe2.dat
9100,Lotus Notes/Domino 8 ,(HsjFebq0Kh9kH7aAZYc7kY30mC30mC3KmC30mCluagXrvWKj1)
9200,Cisco $8$ ,$8$TnGX/fE4KGHOVU$pEhnEvxrvaynpi8j4f.EMHr6M.FzU8xnZnBr/tJdFWk
9300,Cisco $9$ ,$9$2MJBozw/9R3UsU$2lFhcKvpghcyw8deP25GOfyZaagyUOGBymkryvOdfo6
9400,Office 2007 ,$office$*2007*20*128*16*411a51284e0d0200b131a8949aaaa5cc*117d532441c63968bee7647d9b7df7d6*df1d601ccf905b375575108f42ef838fb88e1cde
9500,Office 2010 ,$office$*2010*100000*128*16*77233201017277788267221014757262*b2d0ca4854ba19cf95a2647d5eee906c*e30cbbb189575cafb6f142a90c2622fa9e78d293c5b0c001517b3f5b82993557
9600,Office 2013 ,$office$*2013*100000*256*16*7dd611d7eb4c899f74816d1dec817b3b*948dc0b2c2c6c32f14b5995a543ad037*0b7ee0e48e935f937192a59de48a7d561ef2691d5c8a3ba87ec2d04402a94895
9700,MS Office ? 2003 MD5 + RC4; oldoffice$0; oldoffice$1 ,$oldoffice$1*04477077758555626246182730342136*b1b72ff351e41a7c68f6b45c4e938bd6*0d95331895e99f73ef8b6fbc4a78ac1a
9800,MS Office ? 2003 SHA1 + RC4; oldoffice$3; oldoffice$4 ,$oldoffice$3*83328705222323020515404251156288*2855956a165ff6511bc7f4cd77b9e101*941861655e73a09c40f7b1e9dfd0c256ed285acd
9900,Radmin2 ,22527bee5c29ce95373c4e0f359f079b
10000,Django (PBKDF2-SHA256) ,pbkdf2_sha256$20000$H0dPx8NeajVu$GiC4k5kqbbR9qWBlsRgDywNqC2vd9kqfk7zdorEnNas=
10100,SipHash ,ad61d78c06037cd9:2:4:81533218127174468417660201434054
10200,Cram MD5 ,$cram_md5$PG5vLXJlcGx5QGhhc2hjYXQubmV0Pg==$dXNlciA0NGVhZmQyMmZlNzY2NzBmNmIyODc5MDgxYTdmNWY3MQ==
10300,SAP CODVN H (PWDSALTEDHASH) iSSHA-1 ,{x-issha 1024}C0624EvGSdAMCtuWnBBYBGA0chvqAflKY74oEpw/rpY=
10400,PDF 1.1 - 1.3 (Acrobat 2 - 4) ,$pdf$1*2*40*-1*0*16*51726437280452826511473255744374*32*9b09be05c226214fa1178342673d86f273602b95104f2384b6c9b709b2cbc058*32*0000000000000000000000000000000000000000000000000000000000000000
10500,PDF 1.4 - 1.6 (Acrobat 5 - 8) ,$pdf$2*3*128*-1028*1*16*da42ee15d4b3e08fe5b9ecea0e02ad0f*32*c9b59d72c7c670c42eeb4fca1d2ca15000000000000000000000000000000000*32*c4ff3e868dc87604626c2b8c259297a14d58c6309c70b00afdfb1fbba10ee571
10600,PDF 1.7 Level 3 (Acrobat 9) ,$pdf$5*5*256*-1028*1*16*20583814402184226866485332754315*127*f95d927a94829db8e2fbfbc9726ebe0a391b22a084ccc2882eb107a74f7884812058381440218422686648533275431500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000*127*00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000*32*0000000000000000000000000000000000000000000000000000000000000000*32*0000000000000000000000000000000000000000000000000000000000000000
10700,PDF 1.7 Level 8 (Acrobat 10 - 11) ,$pdf$5*6*256*-4*1*16*381692e488413f5502fa7314a78c25db*48*e5bf81a2a23c88f3dccb44bc7da68bb5606b653b733bcf9adaa5eb2c8ccf53abba66539044eb1957eda68469b1d0b9b5*48*b222df06deb308bf919d13447e688775fdcab972faed2c866dc023a126cb4cd4bbffab3683ecde243cf8d88967184680
10800,SHA384 ,07371af1ca1fca7c6941d2399f3610f1e392c56c6d73fddffe38f18c430a2817028dae1ef09ac683b62148a2c8757f42
10900,PBKDF2-HMAC-SHA256 ,sha256:1000:MTc3MTA0MTQwMjQxNzY=:PYjCU215Mi57AYPKva9j7mvF4Rc5bCnt
11000,PrestaShop ,810e3d12f0f10777a679d9ca1ad7a8d9:M2uZ122bSHJ4Mi54tXGY0lqcv1r28mUluSkyw37ou5oia4i239ujqw0l
11100,PostgreSQL Challenge-Response Authentication (MD5) ,$postgres$postgres*f0784ea5*2091bb7d4725d1ca85e8de6ec349baf6
11200,MySQL Challenge-Response Authentication (SHA1) ,$mysqlna$1c24ab8d0ee94d70ab1f2e814d8f0948a14d10b9*437e93572f18ae44d9e779160c2505271f85821d
11300,Bitcoin/Litecoin wallet.dat ,$bitcoin$96$d011a1b6a8d675b7a36d0cd2efaca32a9f8dc1d57d6d01a58399ea04e703e8bbb44899039326f7a00f171a7bbc854a54$16$1563277210780230$158555$96$628835426818227243334570448571536352510740823233055715845322741625407685873076027233865346542174$66$625882875480513751851333441623702852811440775888122046360561760525
11400,SIP digest authentication (MD5) ,$sip$*192.168.100.100*192.168.100.121*username*asterisk*REGISTER*sip*192.168.100.121**2b01df0b****MD5*ad0520061ca07c120d7e8ce696a6df2d
11500,CRC32 7 ,c762de4a:00000000
11600,7-Zip ,$7z$0$19$0$salt$8$f6196259a7326e3f0000000000000000$185065650$112$98$f3bc2a88062c419a25acd40c0c2d75421cf23263f69c51b13f9b1aada41a8a09f9adeae45d67c60b56aad338f20c0dcc5eb811c7a61128ee0746f922cdb9c59096869f341c7a9cb1ac7bb7d771f546b82cf4e6f11a5ecd4b61751e4d8de66dd6e2dfb5b7d1022d2211e2d66ea1703f96
11700,GOST R 34.11-2012 (Streebog) 256-bit ,57e9e50caec93d72e9498c211d6dc4f4d328248b48ecf46ba7abfa874f666e36
11800,GOST R 34.11-2012 (Streebog) 512-bit ,5d5bdba48c8f89ee6c0a0e11023540424283e84902de08013aeeb626e819950bb32842903593a1d2e8f71897ff7fe72e17ac9ba8ce1d1d2f7e9c4359ea63bdc3
11900,PBKDF2-HMAC-MD5 ,md5:1000:MTg1MzA=:Lz84VOcrXd699Edsj34PP98+f4f3S0rTZ4kHAIHoAjs=
12000,PBKDF2-HMAC-SHA1 ,sha1:1000:MzU4NTA4MzIzNzA1MDQ=:19ofiY+ahBXhvkDsp0j2ww==
12100,PBKDF2-HMAC-SHA512 ,sha512:1000:ODQyMDEwNjQyODY=:MKaHNWXUsuJB3IEwBHbm3w==
12200,eCryptfs ,$ecryptfs$0$1$7c95c46e82f364b3$60bba503f0a42d0c
12300,Oracle T: Type (Oracle 12+) ,78281A9C0CF626BD05EFC4F41B515B61D6C4D95A250CD4A605CA0EF97168D670EBCB5673B6F5A2FB9CC4E0C0101E659C0C4E3B9B3BEDA846CD15508E88685A2334141655046766111066420254008225
12400,BSDiCrypt; Extended DES ,_9G..8147mpcfKT8g0U.
12500,RAR3-hp ,$RAR3$*0*45109af8ab5f297a*adbf6c5385d7a40373e8f77d7b89d317
12600,ColdFusion 10+ ,aee9edab5653f509c4c63e559a5e967b4c112273bc6bd84525e630a3f9028dcb:5136256866783777334574783782810410706883233321141647265340462733
12700,Blockchain; My Wallet ,$blockchain$288$5420055827231730710301348670802335e45a6f5f631113cb1148a6e96ce645ac69881625a115fd35256636d0908217182f89bdd53256a764e3552d3bfe68624f4f89bb6de60687ff1ebb3cbf4e253ee3bea0fe9d12d6e8325ddc48cc924666dc017024101b7dfb96f1f45cfcf642c45c83228fe656b2f88897ced2984860bf322c6a89616f6ea5800aadc4b293ddd46940b3171a40e0cca86f66f0d4a487aa3a1beb82569740d3bc90bc1cb6b4a11bc6f0e058432cc193cb6f41e60959d03a84e90f38e54ba106fb7e2bfe58ce39e0397231f7c53a4ed4fd8d2e886de75d2475cc8fdc30bf07843ed6e3513e218e0bb75c04649f053a115267098251fd0079272ec023162505725cc681d8be12507c2d3e1c9520674c68428df1739944b8ac
999995,Plaintext ,hashcat 
11,Joomla < 2.5.18 ,19e0e8d91c722e7091ca7a6a6fb0f4fa:54718031842521651757785603028777
12,PostgreSQL ,a6343a68d964ca596d9752250d54bb8a:postgres
21,osCommerce; xt:Commerce ,374996a5e8a5e57fd97d893f7df79824:36
22,Juniper Netscreen/SSG (ScreenOS) ,nNxKL2rOEkbBc9BFLsVGG6OtOUO/8n:user
23,Skype ,3af0389f093b181ae26452015f4ae728:user
101,nsldap; SHA-1(Base64); Netscape LDAP SHA ,{SHA}uJ6qx+YUFzQbcQtyd2gpTQ5qJ3s=
111,nsldaps; SSHA-1(Base64); Netscape LDAP SSHA ,{SSHA}AZKja92fbuuB9SpRlHqaoXxbTc43Mzc2MDM1Ng==
112,Oracle S: Type (Oracle 11+) ,ac5f1e62d21fd0529428b84d42e8955b04966703:38445748184477378130
121,SMF >= v1.1 ,ecf076ce9d6ed3624a9332112b1cd67b236fdd11:17782686
122,OS X v10.4; v10.5; v10.6 ,1430823483d07626ef8be3fda2ff056d0dfd818dbfe47683
123,EPi ,0x326C6D7B4E4F794B79474E36704F35723958397163735263516265456E31 0xAFC55E260B8F45C0C6512BCE776C1AD8312B56E6
124,Django (SHA-1)6 ,sha1$fe76b$02d5916550edf7fc8c886f044887f4b1abf9b013
131,MSSQL(2000) ,0x01002702560500000000000000000000000000000000000000008db43dd9b1972a636ad0c7d4b8c515cb8ce46578
132,MSSQL(2005) ,0x010018102152f8f28c8499d8ef263c53f8be369d799f931b2fbe
133,PeopleSoft ,uXmFVrdBvv293L9kDR3VnRmx4ZM=
141,EPiServer 6.x < v4 ,$episerver$*0*bEtiVGhPNlZpcUN4a3ExTg==*utkfN0EOgljbv5FoZ6+AcZD5iLk
1421,hMailServer ,8fe7ca27a17adc337cd892b1d959b4e487b8f0ef09e32214f44fb1b07e461c532e9ec3
1441,EPiServer 6.x >= v4 ,$episerver$*1*MDEyMzQ1Njc4OWFiY2RlZg==*lRjiU46qHA7S6ZE7RfKUcYhB85ofArj1j7TrCtu3u6Y
1711,SSHA-512(Base64); LDAP {SSHA512} ,{SSHA512}ALtwKGBdRgD+U0fPAy31C28RyKYx7+a8kmfksccsOeLknLHv2DBXYI7TDnTolQMBuPkWDISgZr2cHfnNPFjGZTEyNDU4OTkw
1722,OS X v10.7 ,648742485c9b0acd786a233b2330197223118111b481abfa0ab8b3e8ede5f014fc7c523991c007db6882680b09962d16fd9c45568260531bdb34804a5e31c22b4cfeb32d
1731,MSSQL(2012); MSSQL(2014) ,0x02000102030434ea1b17802fd95ea6316bd61d2c94622ca3812793e8fb1672487b5c904a45a31b2ab4a78890d563d2fcf5663e46fe797d71550494be50cf4915d3f4d55ec375
2611,vBulletin < v3.8.5 ,16780ba78d2d5f02f3202901c1b6d975:568
2612,PHPS ,$PHPS$34323438373734$5b07e065b9d78d69603e71201c6cf29f
2711,vBulletin >= v3.8.5 ,bf366348c53ddcfbd16e63edfdd1eee6:181264250056774603641874043270
2811,IPB2+; MyBB1.2+ ,8d2129083ef35f4b365d5d87487e1207:47204
3711,Mediawiki B type ,$B$56668501$0ce106caa70af57fd525aeaf80ef2898
3721,WebEdition CMS ,fa01af9f0de5f377ae8befb03865178e:5678
7600,Redmine Project Management Web App ,1fb46a8f81d8838f46879aaa29168d08aa6bf22d:3290afd193d90e900e8021f81409d7a9
